資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	發行商	製片商	統計起始日	統計結束日	統計週期	本期上映院數	本期銷售票數	本期銷售金額	累計上映天數	上映週數	最大上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	28	末世異種	2018-05-04	美國	牽猴子整合行銷股份有限公司	VOLTAGEPICTURES	2018-05-14	2018-05-20	weekly	11	137	30510	NULL	3.0	21	4431	1006653	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	29	成為母親之後	2018-05-04	南韓	原創娛樂股份有限公司	FINECUT CO., LTD.	2018-05-14	2018-05-20	weekly	3	55	11260	NULL	3.0	4	384	82770	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	30	我是一隻貓	2018-05-04	南韓	車庫娛樂股份有限公司	LITTLEBIGPICTURES	2018-05-14	2018-05-20	weekly	3	24	5530	NULL	3.0	3	227	51270	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	31	下坡戮	2018-05-04	智利	暗光鳥有限公司	(法國)WTFILMS	2018-05-14	2018-05-20	weekly	1	0	0	NULL	3.0	2	79	16845	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	32	屍奶俱樂部	2018-05-04	加拿大	暗光鳥有限公司	(馬爾他)DEVILWORKSLIMITED	2018-05-14	2018-05-20	weekly	1	0	0	NULL	3.0	2	137	28580	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	33	羊之木	2018-04-27	日本	天馬行空數位有限公司	ASMIK ACE, INC.	2018-05-14	2018-05-20	weekly	9	746	164590	NULL	4.0	15	11921	2670930	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	34	北韓搖滾解放日	2018-04-27	英國	翻面映畫有限公司	DOGWOOF LTD	2018-05-14	2018-05-20	weekly	4	253	55215	NULL	4.0	6	2076	461507	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	35	史達林死了沒？	2018-04-27	英國	捷傑有限公司	（法國）GAUMONTS.A.	2018-05-14	2018-05-20	weekly	3	234	51625	NULL	4.0	8	3664	831891	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	36	北之櫻守－媽媽的守護者	2018-04-27	日本	英屬維京群島商高捷全球開發有限公司台灣分公司	TOEI COMPANY,LTD	2018-05-14	2018-05-20	weekly	4	103	19505	NULL	4.0	12	4038	813157	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	37	你才女巫，你全家都女巫	2018-04-27	英國	佳映娛樂國際股份有限公司	(法國)KINOLOGY	2018-05-14	2018-05-20	weekly	1	13	2890	NULL	4.0	5	1091	227650	True
