資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	上映週數	上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房截至2017年五月前資訊	34.pdf	10	73	衝突的一天	2017-04-14	法國	9.0	6	1406	294065	False
全國電影票房2017年11/06-11/12統計資訊	45.pdf	2	2	我為愛做過的傻事	2017-10-20	羅馬尼亞	4.0	2	1417	293760	False
全國電影票房截至2017年八月前資訊	37.pdf	1	20	美麗人生	2017-05-12	美國	18.0	5	1440	292735	False
全國電影票房截至2017年六月前資訊	35.pdf	11	72	狂舞摯愛	2017-05-05	法國	10.0	5	1463	291020	False
全國電影票房截至2017年六月前資訊	35.pdf	13	88	一個人的收藏	2017-05-12	中華民國	9.0	6	1366	290420	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	63	跟爺爺說再見	2018-03-09	日本	11.0	7	1424	289570	True
"全國電影票房截至2017年十月前資訊	"	39.pdf	6	54	芬蘭湯姆	2017-08-25	芬蘭	11.0	5	1316	288283	False
全國電影票房2017年11/20-11/26統計資訊	47.pdf	2	7	大河戀：4K數位修復版	2017-11-10	美國	3.0	4	1391	286130	False
全國電影票房2018年01/15-01/21統計資訊	67.pdf	3	18	親愛的外人	2018-01-05	日本	3.0	6	1378	285732	False
全國電影票房截至2017年三月前資訊	32.pdf	10	88	停屍姦	2017-02-24	西班牙	7.0	3	1292	280680	False
全國電影票房截至2017年八月前資訊	37.pdf	6	72	光	2017-07-14	日本	9.0	7	1347	279890	False
全國電影票房截至2017年二月前資訊	31.pdf	5	74	告解高峰會	2017-01-13	義大利	8.0	6	1400	279735	False
全國電影票房截至2017年六月前資訊	35.pdf	15	102	貝士浮生錄	2017-05-19	美國	8.0	3	1216	279705	False
全國電影票房截至2017年九月前資訊	38.pdf	11	99	澤水困	2017-08-25	中華民國	7.0	1	1251	278970	False
全國電影票房2018年01/15-01/21統計資訊	67.pdf	4	28	多情動物	2017-12-29	法國	4.0	7	1271	274675	False
全國電影票房截至2017年六月前資訊	35.pdf	3	26	危機救援	2017-03-10	俄羅斯	18.0	7	1298	272465	False
全國電影票房截至2017年四月前資訊	33.pdf	12	108	我的叔叔	2017-03-31	日本	6.0	7	1278	271018	False
全國電影票房2018年01/15-01/21統計資訊	67.pdf	5	36	最美的約定	2017-12-22	南韓	5.0	7	1309	269710	False
全國電影票房截至2017年九月前資訊	38.pdf	11	100	芬妮的勇敢旅程	2017-08-25	法國	7.0	5	1366	269300	False
全國電影票房截至2017年一月前資訊	27.pdf	1	33	24週	2016-11-25	德國	11.0	6	1327	268740	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	26	殘酷的溫柔	2018-05-04	俄羅斯	3.0	6	1345	266300	True
全國電影票房截至2017年三月前資訊	32.pdf	3	36	歡迎光臨貝拉的奇幻花園	2017-01-13	英國	13.0	4	1236	264260	False
全國電影票房截至2017年七月前資訊	36.pdf	9	108	厄夜直播	2017-06-30	南韓	6.0	6	1144	260685	False
全國電影票房截至2017年四月前資訊	33.pdf	11	106	波麗娜	2017-03-31	法國	6.0	5	1200	260420	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	25	翻轉教室	2018-05-04	法國	3.0	6	1240	260062	True
全國電影票房2018年03/26-04/01統計資訊	80.pdf	3	42	今天跳舞不打仗	2018-03-02	以色列	5.0	6	1196	257765	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	1	14	好想大聲說出心底的話真人版	2017-12-11	日本	2.0	7	1169	255780	False
全國電影票房截至2017年六月前資訊	35.pdf	13	89	海上焰火	2017-05-12	義大利	9.0	6	1154	255589	False
全國電影票房截至2017年五月前資訊	34.pdf	8	62	一日戀人	2017-04-07	泰國	10.0	9	1121	254028	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	5	41	分貝人生	2017-12-01	馬來西亞	6.0	6	1164	246213	False
全國電影票房截至2017年七月前資訊	36.pdf	5	48	純情	2017-05-19	南韓	12.0	5	1157	244945	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	2	33	底特律	2018-04-13	美國	4.0	5	1031	241986	False
全國電影票房截至2017年四月前資訊	33.pdf	7	56	紅的告別式	2017-03-03	日本	10.0	6	1018	240201	False
全國電影票房截至2017年三月前資訊	32.pdf	8	65	臨淵而慄	2017-02-10	日本	9.0	6	1134	239875	False
全國電影票房截至2017年一月前資訊	27.pdf	1	24	光榮擂台	2016-11-18	巴拿馬	12.0	11	1447	239500	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	2	37	冰菓	2018-03-02	日本	4.0	8	1009	239257	False
全國電影票房截至2016年十二月前資訊	26.pdf	0	9	異邦警察	2016-11-04	日本	10.0	8	1156	238101	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	3	29	爸媽也瘋狂	2018-01-26	美國	5.0	13	1061	236725	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	14	117	絕代天后黛莉達	2017-09-29	法國	6.0	8	1137	236542	False
全國電影票房2017年11/06-11/12統計資訊	45.pdf	1	2	沙林傑傳：叛逆的麥田捕手	2017-10-30	美國	2.0	4	1118	235230	False
全國電影票房截至2017年三月前資訊	32.pdf	5	52	伴手禮	2017-01-26	法國	11.0	5	1140	234990	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	9	105	我們的輕狂年代	2016-11-18	美國	71.0	7	1130	234710	False
全國電影票房截至2017年七月前資訊	36.pdf	9	109	今天的吉良同學	2017-06-30	日本	6.0	3	987	233101	False
全國電影票房截至2017年七月前資訊	36.pdf	6	61	歡迎來到詩樂園	2017-06-02	法國	10.0	4	1061	230485	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	9	77	那年夏天的微光	2017-09-08	法國	9.0	8	1127	229400	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	37	你才女巫，你全家都女巫	2018-04-27	英國	4.0	5	1091	227650	True
全國電影票房截至2017年六月前資訊	35.pdf	17	115	雙面法蘭茲	2017-05-26	法國	7.0	3	1076	226790	False
全國電影票房截至2017年八月前資訊	37.pdf	5	61	骨妹	2017-07-07	香港	10.0	5	1027	225765	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	9	尋愛偵探阿洛伊斯	2018-05-11	瑞士	2.0	8	1041	225090	True
全國電影票房截至2017年一月前資訊	27.pdf	3	66	一週八天的歲月：披頭時代	2016-12-09	英國	9.0	8	1005	224999	False
全國電影票房截至2017年七月前資訊	36.pdf	7	86	獨自在夜晚的海邊	2017-06-16	南韓	8.0	3	1040	224680	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	3	46	再一次，台灣見	2018-03-16	日本 	4.0	6	975	224184	False
全國電影票房截至2017年九月前資訊	38.pdf	3	35	花芯：背德禁戀	2017-06-23	日本	16.0	6	1146	223380	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	11	風流大丈夫	2018-05-11	南韓	2.0	7	976	222480	True
全國電影票房截至2017年九月前資訊	38.pdf	0	8	動畫人生	2017-04-14	英國	26.0	6	1079	221610	False
全國電影票房截至2017年二月前資訊	31.pdf	1	31	麵包超人電影版：玩具之星的南達與倫妲	2016-12-16	日本	12.0	8	958	221198	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	11	106	愛過了	2017-09-22	日本	7.0	5	986	220770	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	1	22	老爸出任務	2018-03-16	美國	3.0	11	1012	220457	False
全國電影票房截至2017年四月前資訊	33.pdf	7	65	茱莉小姐	2017-03-10	英國	9.0	5	1064	219905	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	8	94	最美麗的意外	2017-11-17	法國	20.0	6	1168	219645	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	10	黑腥企業	2018-05-11	法國	2.0	6	1007	215935	True
全國電影票房截至2017年九月前資訊	38.pdf	11	101	一路不順風	2017-08-25	法國	7.0	3	998	215680	False
全國電影票房截至2017年一月前資訊	27.pdf	0	6	玩命光頭	2016-11-04	法國	14.0	7	1280	215325	False
全國電影票房截至2017年六月前資訊	35.pdf	13	90	愛情陷阱	2017-05-12	法國	9.0	5	983	213625	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	9	85	亂	2017-09-29	日本	22.0	3	942	213395	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	5	62	兄弟，嫁給我好嗎	2018-01-26	法國	10.0	4	1269	212890	False
全國電影票房截至2017年六月前資訊	35.pdf	0	6	野風溼身的女人	2017-01-13	日本	26.0	5	1236	210990	False
全國電影票房截至2017年五月前資訊	34.pdf	8	63	藝想，巴黎	2017-04-07	法國	10.0	6	1039	209390	False
全國電影票房截至2017年五月前資訊	34.pdf	16	105	風水逝家	2017-04-28	德國	7.0	6	976	207195	False
全國電影票房截至2017年一月前資訊	27.pdf	0	20	遇見黑天鵝王子	2016-11-18	法國	12.0	4	1047	206980	False
全國電影票房截至2017年三月前資訊	32.pdf	9	85	國王的抉擇	2017-02-24	挪威	7.0	5	999	206385	False
全國電影票房截至2017年七月前資訊	36.pdf	7	73	鹽與火之歌	2017-06-09	美國	9.0	5	987	204930	False
全國電影票房截至2017年五月前資訊	34.pdf	16	106	APP有鬼	2017-04-28	美國	7.0	6	948	202535	False
全國電影票房2018年04/16-04/22統計資訊	83.pdf	3	46	愛愛後當機	2018-02-23	法國	9.0	3	1135	200875	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	59	裸睡美人	2018-03-16	日本	10.0	6	961	200741	True
"全國電影票房截至2017年十月前資訊	"	39.pdf	14	119	宣告黎明的露之歌	2017-09-29	日本	6.0	5	827	199914	False
全國電影票房截至2017年五月前資訊	34.pdf	14	96	老師有問題	2017-04-24	斯洛伐克	7.0	7	977	197435	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	9	78	帶來末日的女孩	2017-09-08	英國	9.0	8	860	196976	False
全國電影票房截至2017年八月前資訊	37.pdf	5	62	交換心人生	2017-07-07	法國	10.0	5	944	194200	False
全國電影票房截至2017年五月前資訊	34.pdf	12	84	嚇女的誘惑	2017-04-21	越南	8.0	7	872	193316	False
全國電影票房截至2017年一月前資訊	27.pdf	2	39	毛小孩選邊站	2016-11-25	美國	11.0	5	907	191825	False
全國電影票房截至2017年四月前資訊	33.pdf	11	107	生日卡片	2017-03-31	日本	6.0	8	870	190960	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	3	37	冰上情緣	2018-04-20	俄羅斯	4.0	7	843	190313	False
全國電影票房截至2017年三月前資訊	32.pdf	9	74	你會在那裡嗎	2017-02-17	南韓	8.0	5	844	188995	False
全國電影票房2017年11/27-12/03統計資訊	48.pdf	10	7	此情可問天經典數位修復	2017-05-08	美國	30.0	4	900	188358	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	9	79	西謊極落：太爆・太子・太空艙	2017-09-08	香港	9.0	7	844	185209	False
全國電影票房截至2017年一月前資訊	27.pdf	1	31	不即不離	2016-11-25	中華民國	11.0	3	877	181080	False
全國電影票房截至2017年七月前資訊	36.pdf	4	37	我的海星爸爸	2017-05-05	英國	14.0	8	1034	178994	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	38	加百列的東非七十天	2018-04-27	巴西	4.0	5	877	178835	True
全國電影票房2017年11/27-12/03統計資訊	48.pdf	2	3	五星級明日餐廳	2017-11-17	加拿大	3.0	4	806	177075	False
全國電影票房2018年01/22-01/28統計資訊	68.pdf	3	24	想成為奧田民生的BOY與讓遇見的男人都瘋狂的GIRL	2018-01-12	日本	3.0	13	794	174610	False
全國電影票房截至2017年一月前資訊	27.pdf	4	82	黑金丑島君3-枷鎖篇	2016-12-16	日本	8.0	3	703	168884	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	5	41	銀魂：三葉篇	2017-11-10	日本	5.0	10	721	167493	False
全國電影票房2017年11/06-11/12統計資訊	45.pdf	1	6	愛情，別來無恙	2017-10-27	德國	3.0	3	775	166948	False
全國電影票房截至2017年二月前資訊	31.pdf	4	72	笑林足球	2017-01-13	香港	8.0	2	758	166850	False
全國電影票房截至2017年六月前資訊	35.pdf	3	31	這不是色情電影	2017-03-17	日本	17.0	5	1004	166030	False
全國電影票房2018年04/09-04/15統計資訊	82.pdf	2	27	愛與別離的夏威夷	2018-03-23	日本	4.0	4	767	163400	False
全國電影票房截至2017年七月前資訊	36.pdf	7	75	櫻桃小丸子30周年紀念特別劇場版	2017-06-10	日本	9.0	3	629	161857	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	104	玩具總動員3	2010-06-16	美國	413.0	7	652	161790	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	56	香米小情歌	2018-03-23	美國	9.0	6	805	161360	True
全國電影票房截至2017年六月前資訊	35.pdf	2	17	母貓	2017-02-17	日本	21.0	4	723	161185	False
全國電影票房2017年11/27-12/03統計資訊	48.pdf	3	2	爸爸的便當是世界第一	2017-11-17	日本	3.0	7	729	159983	False
全國電影票房截至2017年七月前資訊	36.pdf	9	110	不汗黨：地下秩序	2017-06-30	南韓	6.0	6	727	159385	False
全國電影票房截至2017年二月前資訊	31.pdf	2	40	瑪麗娜之橋	2016-12-23	比利時	11.0	3	859	157410	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	1	24	東京日和	2018-04-20	日本	3.0	7	749	157265	False
全國電影票房截至2017年一月前資訊	27.pdf	0	19	失序男孩	2016-11-18	日本	12.0	5	700	156893	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	10	96	今夜，陽光燦爛	2017-09-15	義大利	8.0	4	790	156535	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	5	59	王牌業務員	2018-02-02	德國	9.0	3	739	154442	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	2	25	我是你轉世老爸	2018-04-27	義大利	3.0	4	744	153865	False
全國電影票房2017年11/20-11/26統計資訊	47.pdf	9	5	5月天諾亞方舟	2013-09-18	中華民國	218.0	1	553	150750	False
全國電影票房截至2017年一月前資訊	27.pdf	1	30	翡翠之城	2016-11-25	中華民國	11.0	1	679	150495	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	1	25	愛在盡頭遇見你	2018-04-20	義大利	3.0	7	744	149765	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	2	26	七年之夜	2018-04-27	南韓	3.0	5	685	149112	False
全國電影票房截至2017年四月前資訊	33.pdf	7	55	慾望	2017-03-03	德國	10.0	3	727	148670	False
全國電影票房截至2017年八月前資訊	37.pdf	5	63	環法心節奏	2017-07-07	法國	10.0	4	736	148455	False
全國電影票房截至2017年五月前資訊	34.pdf	12	85	絕魂夜	2017-04-21	美國	8.0	2	688	148280	False
全國電影票房截至2017年八月前資訊	37.pdf	5	64	放生員工請注意	2017-07-07	德國	10.0	3	703	148010	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	14	120	我在快打求旋風	2017-09-29	日本	6.0	4	642	144825	False
全國電影票房截至2017年四月前資訊	33.pdf	10	94	寵物情劫	2017-03-24	西班牙	7.0	2	661	144585	False
全國電影票房截至2017年六月前資訊	35.pdf	16	104	哈利本森：大攝影家	2017-05-19	美國	8.0	5	664	143780	False
全國電影票房截至2017年五月前資訊	34.pdf	14	97	黃金拼圖PRETTYDAYS	2017-04-24	日本	7.0	6	595	142314	False
全國電影票房截至2017年三月前資訊	32.pdf	3	31	畢業風暴	2017-01-06	羅馬尼亞	14.0	7	718	141960	False
全國電影票房截至2017年七月前資訊	36.pdf	7	87	愛愛大風吹	2017-06-16	瑞典	8.0	4	676	140635	False
全國電影票房截至2016年十二月前資訊	26.pdf	1	19	河北臺北	2016-11-11	中華民國	9.0	1	607	136835	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	14	121	販賣愛情	2017-09-29	英國	6.0	7	639	131885	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	7	62	老爸不好當	2017-12-08	挪威	9.0	7	675	131724	False
全國電影票房截至2017年五月前資訊	34.pdf	12	86	指甲刀人魔	2017-04-21	中華民國	8.0	18	602	131385	False
全國電影票房截至2017年五月前資訊	34.pdf	10	75	烏克蘭悲歌	2017-04-14	加拿大	9.0	3	680	130820	False
全國電影票房2017年11/06-11/12統計資訊	45.pdf	1	7	紅鞋茱莉	2017-10-27	法國	3.0	2	632	130750	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	6	55	初戀上女孩	2017-08-25	法國	11.0	4	594	129540	False
全國電影票房截至2016年十二月前資訊	26.pdf	0	1	兒子老子	2016-11-04	中華民國	10.0	1	577	129385	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	14	122	心之物語	2017-09-29	德國	6.0	4	636	128695	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	3	32	南漢山城	2017-11-17	南韓	4.0	6	610	128575	False
全國電影票房截至2017年四月前資訊	33.pdf	9	79	愛上有機男	2017-03-17	日本	8.0	6	610	128509	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	12	怒戰天下	2018-05-11	俄羅斯	2.0	3	561	127280	True
全國電影票房2018年05/07-05/13統計資訊	86.pdf	3	39	未成年愛狠大	2018-04-20	日本	4.0	7	560	127180	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	3	41	朴烈：逆權年代	2018-03-16	南韓 	4.0	6	583	126060	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	2	18	我愛愛愛你	2017-12-22	法國	3.0	6	582	125295	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	2	26	海邊的李爾王	2017-11-24	日本	3.0	4	566	123750	False
全國電影票房2017年11/13-11/19統計資訊	46.pdf	3	8	乒乓	2017-10-02	中華民國	7.0	1	577	123264	False
全國電影票房2018年04/09-04/15統計資訊	82.pdf	1	19	全員死刑	2018-03-30	日本	3.0	3	546	120640	False
全國電影票房截至2017年四月前資訊	33.pdf	7	53	小丑的眼淚	2017-03-03	法國	10.0	5	569	119780	False
全國電影票房截至2017年三月前資訊	32.pdf	8	66	愛，那時此刻	2017-02-10	法國	9.0	4	578	119115	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	2	23	小玩意	2018-04-27	中華民國	3.0	7	554	119075	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	2	23	殘影	2018-01-26	波蘭	3.0	3	556	118445	False
全國電影票房2018年01/08-01/14統計資訊	66.pdf	2	19	情陷高達	2017-12-29	法國	3.0	5	554	117820	False
全國電影票房截至2017年三月前資訊	32.pdf	9	76	我是妳的眼	2017-02-17	法國	8.0	4	544	115995	False
全國電影票房2018年04/09-04/15統計資訊	82.pdf	2	28	深秋的黎明	2018-03-23	法國	4.0	7	568	114010	False
全國電影票房截至2017年一月前資訊	27.pdf	1	32	牧羊小英雄	2016-11-25	瑞士	11.0	2	577	113930	False
全國電影票房截至2017年五月前資訊	34.pdf	8	64	越愛越墮落	2017-04-07	南韓	10.0	4	561	113365	False
全國電影票房截至2017年一月前資訊	27.pdf	2	40	再見橄欖樹	2016-11-25	菲律賓	11.0	4	612	111715	False
全國電影票房截至2017年四月前資訊	33.pdf	7	57	困獸之網	2017-03-03	南韓	10.0	4	521	109890	False
全國電影票房截至2017年二月前資訊	31.pdf	3	59	私法拘留	2017-01-06	菲律賓	9.0	3	512	108900	False
全國電影票房截至2016年十二月前資訊	26.pdf	1	25	閨蜜瘋上路	2016-11-11	義大利	9.0	4	559	108745	False
全國電影票房2018年01/15-01/21統計資訊	67.pdf	4	23	空手道	2018-01-05	香港	3.0	6	495	108275	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	2	27	四月的女兒	2018-04-13	墨西哥	3.0	4	492	106065	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	1	12	靈蝕	2018-02-09	西班牙	3.0	4	466	104875	False
全國電影票房截至2016年十二月前資訊	26.pdf	0	11	絕命殺人院	2016-11-04	挪威	10.0	1	475	100235	False
全國電影票房截至2017年五月前資訊	34.pdf	9	65	白百合之戀	2017-04-07	日本	10.0	4	452	100205	False
全國電影票房截至2017年二月前資訊	31.pdf	1	22	顧問先生有問題	2016-12-09	義大利	13.0	3	521	98610	False
全國電影票房截至2017年四月前資訊	33.pdf	7	64	熾戀	2017-03-10	法國	9.0	4	470	98510	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	3	47	東柱：時代詩情	2018-03-16	南韓 	4.0	6	444	96645	False
全國電影票房截至2017年三月前資訊	32.pdf	3	29	我把老師縮小了	2017-01-06	德國	14.0	3	502	95440	False
全國電影票房截至2017年二月前資訊	31.pdf	2	46	四百擊：數位修復版	2016-12-26	法國	10.0	2	465	94860	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	106	玩具總動員2	2010-04-23	美國	421.0	7	383	94160	True
全國電影票房截至2017年六月前資訊	35.pdf	0	3	裸舞狂情	2016-12-23	日本	29.0	6	530	93220	False
全國電影票房截至2017年五月前資訊	34.pdf	16	107	再見柏林	2017-04-28	德國	7.0	3	429	91400	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	2	24	這條路的名字叫希望	2018-04-27	法國	3.0	4	445	90590	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	1	26	獄火重生：金昌洙	2018-03-01	南韓	3.0	4	433	90240	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	1	19	輕鬆+愉快	2018-02-02	中國大陸	3.0	4	398	89095	False
全國電影票房截至2017年六月前資訊	35.pdf	6	50	USSI：勇者無畏	2017-04-21	美國	12.0	2	415	87970	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	105	玩具總動員	2010-06-16	美國	413.0	7	361	87780	True
全國電影票房截至2017年七月前資訊	36.pdf	9	111	恐懼虛空	2017-06-30	加拿大	6.0	2	393	84615	False
全國電影票房截至2017年八月前資訊	37.pdf	6	73	魔幻開幕夜	2017-07-14	法國	9.0	3	394	83500	False
全國電影票房截至2017年六月前資訊	35.pdf	11	74	窗外有藍天經典數位修復	2017-05-05	英國	10.0	1	386	82840	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	29	成為母親之後	2018-05-04	南韓	3.0	4	384	82770	True
全國電影票房2018年02/12-02/18統計資訊	71.pdf	5	61	搖擺浮生錄	2017-12-08	法國	11.0	3	397	81740	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	9	85	放牛班的提琴手	2017-12-08	法國	21.0	5	420	81170	False
全國電影票房截至2017年七月前資訊	36.pdf	8	88	最萌身高差	2017-06-16	中華民國	8.0	5	368	79450	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	2	25	裸色愛情	2018-04-13	義大利	3.0	4	413	79100	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	3	41	華麗的假期	2018-02-28	南韓	4.0	4	358	77865	False
全國電影票房截至2017年六月前資訊	35.pdf	13	91	單身騎士	2017-05-12	南韓	9.0	3	366	75210	False
全國電影票房截至2016年十二月前資訊	26.pdf	0	4	玩酷壞痞子	2016-11-04	美國	10.0	3	364	73240	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	14	123	雙峰：與火同行	2017-09-29	美國	6.0	4	323	72755	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	1	21	我不是你的黑鬼	2017-12-15	美國	3.0	3	356	72165	False
全國電影票房截至2017年二月前資訊	31.pdf	5	73	雪地裡的擁抱	2017-01-13	南韓	8.0	5	364	71575	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	1	28	嫐	2018-04-20	中華民國	3.0	6	317	71350	False
全國電影票房截至2017年六月前資訊	35.pdf	17	116	回聲戀習曲	2017-05-26	南韓	7.0	4	329	70570	False
全國電影票房2017年11/27-12/03統計資訊	48.pdf	3	1	查維拉：女人別為我哭泣	2017-11-17	墨西哥	3.0	3	352	70470	False
全國電影票房截至2017年二月前資訊	31.pdf	2	38	夏日之戀	2016-12-23	法國	11.0	2	344	70010	False
全國電影票房截至2017年九月前資訊	38.pdf	11	105	咫尺天涯	2017-08-28	英國	6.0	2	325	69780	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	2	31	朝鮮名偵探3：吸血鬼的祕密	2018-03-23	南韓 	3.0	4	316	68270	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	14	124	驚狂	2017-09-29	美國	6.0	4	301	68210	False
全國電影票房截至2017年九月前資訊	38.pdf	11	103	尋找小津	2017-08-25	英國	7.0	2	333	68060	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	2	23	我的美麗爸爸	2018-04-13	法國	3.0	4	334	66495	False
全國電影票房截至2017年二月前資訊	31.pdf	3	52	闇影之下	2016-12-30	英國/伊朗	10.0	3	315	66170	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	9	95	點五步	2016-11-04	香港	80.0	5	307	65415	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	3	29	不玩美女人	2017-12-08	法國	3.0	2	321	62105	False
全國電影票房截至2017年一月前資訊	27.pdf	5	91	情殺案中案	2016-12-23	法國	7.0	2	310	61620	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	15	125	橡皮頭	2017-09-29	美國	6.0	4	268	61515	False
全國電影票房截至2017年一月前資訊	27.pdf	1	29	導火新聞線	2016-11-25	香港	11.0	1	269	60180	False
全國電影票房截至2017年六月前資訊	35.pdf	16	105	她們的顫慄故事	2017-05-19	美國	8.0	2	277	59705	False
全國電影票房截至2017年一月前資訊	27.pdf	5	89	謝謝你的巧克力	2016-12-19	法國	7.0	1	283	59540	False
全國電影票房截至2017年三月前資訊	32.pdf	9	75	解放女性	2017-02-17	瑞士	8.0	4	300	59360	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	11	107	暗夜鬼抓床	2017-09-22	愛爾蘭	7.0	3	258	58685	False
全國電影票房截至2017年四月前資訊	33.pdf	11	103	媽媽教我愛的一切	2017-03-31	義大利	6.0	1	268	56150	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	2	26	給自己的情書	2018-04-13	義大利	3.0	4	287	55480	False
全國電影票房2017年11/20-11/26統計資訊	47.pdf	3	5	那天以後	2017-11-03	南韓	4.0	2	241	55040	False
全國電影票房截至2017年二月前資訊	31.pdf	3	51	致命第六感	2016-12-30	南韓	10.0	3	248	54220	False
全國電影票房截至2017年五月前資訊	34.pdf	12	88	天之驕子	2017-04-21	瑞典	8.0	2	276	53440	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	2	32	殺威瑪先生	2018-03-23	英國 	3.0	2	255	53125	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	2	26	相棒IV-最後的決斷	2018-01-26	日本	3.0	2	235	53005	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	6	54	惡靈捕手	2017-12-22	美國	10.0	4	227	51555	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	30	我是一隻貓	2018-05-04	南韓	3.0	3	227	51270	True
全國電影票房截至2017年二月前資訊	31.pdf	6	90	黑金丑島君THEFINAL-身世大解密	2017-01-20	日本	7.0	1	226	50870	False
全國電影票房2017年11/06-11/12統計資訊	45.pdf	5	7	她的應召日記	2017-09-08	加拿大	10.0	4	324	50350	False
全國電影票房截至2017年八月前資訊	37.pdf	5	65	代立軍	2017-07-07	南韓	10.0	2	239	50190	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	0	11	親愛的小鬼們	2017-12-15	法國	2.0	3	236	50040	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	1	24	吾家有神	2018-03-02	丹麥	3.0	3	247	49425	False
全國電影票房截至2017年二月前資訊	31.pdf	3	49	保持站立	2016-12-30	法國	10.0	1	241	48835	False
全國電影票房2017年11/27-12/03統計資訊	48.pdf	3	4	ELIS爵對搖擺	2017-11-17	巴西	3.0	3	235	48275	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	99	斷了氣	2017-10-23	法國	30.0	1	232	47830	True
